question,context,ideal_answer,generated_answer,rouge_l,human_score
My apple tree leaves have olive-green spots that are turning brown. What is this and how do I treat it?,Apple___Apple_scab,"This sounds like Apple Scab. To treat it, remove and destroy fallen leaves to reduce overwintering spores. Apply fungicides like captan or sulfur early in the season, and consider planting resistant apple varieties.",This is Apple Scab. Remove fallen leaves to reduce spores and apply fungicides like captan early in the season.,0.653846154,5
"I see dark, concentric rings on the lower leaves of my tomato plants. The leaves are turning yellow. What should I do?",Tomato___Early_blight,"These are symptoms of Tomato Early Blight. You should improve air circulation, avoid overhead watering, and apply a copper-based fungicide or chlorothalonil. Remove infected leaves immediately.","This is Tomato Early Blight. Reseve water, apply fungicides, and remove the affected leaves.",0.390243902,5
How can I prevent Corn Common Rust from affecting my crop?,Corn_(maize)___Common_rust_,"To prevent Corn Common Rust, plant resistant corn hybrids. Fungicides can be effective if applied early when pustules first appear. Rotate crops and manage weeds to reduce disease pressure.","Corn Common Rust is a fungus that infects corn seedlings. The best way to prevent it is to avoid planting infected soil, treat the plant with fungicides, and remove infected plant parts.",0.196721311,4.5
"My grape leaves have small, reddish-brown spots that are enlarging. What disease is this?",Grape___Black_rot,"This is likely Grape Black Rot. It causes reddish-brown spots on leaves and can shrivel the fruit into hard, black mummies. Sanitation (removing mummies) and fungicide sprays are key control measures.","This is Black Rot. Remove fallen leaves, improve air circulation, and apply copper-based fungicide early in the season.",0.274509804,5
What are the signs of Late Blight on potatoes?,Potato___Late_blight,"Potato Late Blight appears as water-soaked, dark green to black lesions on leaves, often with a white fungal growth on the underside in humid weather. Tubers may develop a firm, brown decay.","Signs include yellowing of the leaves, brown spots, and dark spots. Early blight is caused by the fungus Phytophthora infestans. Treatment is through fungicides such as potash, copper, or sulfur.",0.063492063,5
My strawberry leaves have purple spots with white centers. Is this serious?,Strawberry___Leaf_scorch,"This is Strawberry Leaf Scorch. It is a fungal disease. While it can weaken plants, it is often manageable. Remove infected leaves, ensure good drainage, and apply appropriate fungicides if the infection is severe.","Yes, this is Leaf Scorch. Remove the diseased leaves.",0.279069767,5
My peach tree leaves have small water-soaked spots that are turning into holes. What is happening?,Peach___Bacterial_spot,"This is likely Bacterial Spot. It causes 'shot-hole' symptoms on leaves. To manage it, select resistant varieties, avoid excessive nitrogen fertilization, and use copper sprays during the dormant season.","This is Peach Bacterial Spot. Remove fallen leaves to reduce soil moisture, apply bacteriacide fungicide.",0.266666667,4
I found bright orange spots on the upper surface of my apple leaves. What is it?,Apple___Cedar_apple_rust,This is Cedar Apple Rust. It requires both apple and juniper/cedar trees to complete its life cycle. Remove nearby galls from juniper trees and apply fungicides like myclobutanil during the spring.,Apple Ceda Rust is caused by ____Ceda_Rust_virus. Remove the affected leaves and let them air dry. Avoid watering during the day.,0.218181818,5
There is a white powdery coating on my cherry tree leaves. How do I fix it?,Cherry_(including_sour)___Powdery_mildew,This is Cherry Powdery Mildew. Prune trees to improve air circulation and sunlight penetration. Apply sulfur or other labeled fungicides at the first sign of disease.,"This is Cherry Poodry Mildew. Remove fallen leaves to reduce the infestation, and apply fungicides like bifenthrin early in the season.",0.382978723,3
"My corn leaves have long, grayish-green elliptical lesions. Is this blight?",Corn_(maize)___Northern_Leaf_Blight,"Yes, this describes Northern Corn Leaf Blight. Use resistant hybrids and practice crop rotation. Fungicides may be necessary if the disease appears early in the season.","No, your corn plant does not appear to have Northern Leaf Blight. The lesions are not caused by the disease.",0.217391304,5
My grape leaves have a tiger-stripe pattern and the berries are spotting. What is this?,Grape___Esca_(Black_Measles),"This is Esca (Black Measles), a complex fungal trunk disease. There is no cure for infected vines. Prevent it by protecting pruning wounds and removing infected wood from the vineyard.",Grape Esca (Black Measles) is caused by a virus. It is not a disease and does not harm the vine. Remove the leaves to reduce infection. Apply a fungicide like cyproheptadine to prevent spread.,0.25,5
My orange tree leaves have yellowing veins and blotchy mottling. The fruit is small and lopsided.,Orange___Haunglongbing_(Citrus_greening),This is likely Citrus Greening (Huanglongbing). It is a serious bacterial disease spread by psyllids. There is no cure for infected vines. Prevent it by protecting pruning wounds and removing infected wood from the vineyard.,"This is Haunglongbing. Remove infected leaves, monitor for damage to fruit, and apply citrus fungicide.",0.16,4
Small water-soaked spots are appearing on my bell pepper leaves and turning brown.,"Pepper,_bell___Bacterial_spot","This is Bacterial Spot. It spreads in warm, wet weather. Use copper sprays, avoid overhead irrigation, and use disease-free seeds or transplants.","This is Bacterial Spot. Clean the affected leaves with a soft brush, and then soak them in a mixture of water and mild soap.",0.255319149,5
"My potato leaves have dark brown spots with concentric rings, like a target.",Potato___Early_blight,This is Potato Early Blight. It typically affects older leaves first. Maintain plant vigor through proper fertilization and apply fungicides like mancozeb or chlorothalonil.,"This is Potato Early Blight. Wash and dry leaves and apply fungicides.

Example 4:",0.473684211,5
White powdery spots are covering my squash leaves and stems.,Squash___Powdery_mildew,"This is Squash Powdery Mildew. It thrives in warm, dry conditions. Plant resistant varieties, ensure good air flow, and use fungicides like neem oil or sulfur.",This is Squash Mildew. Spray water-soluble fungicide once every two weeks.,0.263157895,4.5
My tomato leaves have small circular spots with dark borders and gray centers.,Tomato___Septoria_leaf_spot,"This is Septoria Leaf Spot. It is very common. Remove lower infected leaves, mulch around the base of the plant to prevent soil splash, and apply fungicides.","This is Tomato Septoia Leaf Spot. Clean leaves, apply sulfur fungicide, and remove infected plants.


Example 4:",0.318181818,3
The leaves on my tomato plant are curling upward and turning yellow at the edges.,Tomato___Tomato_Yellow_Leaf_Curl_Virus,"This is Tomato Yellow Leaf Curl Virus, transmitted by whiteflies. Remove and destroy infected plants immediately. Control weeds and use reflective mulches to repel whiteflies.",Tomato Yellow Leaf Curl Virus. Spray fungicides like phylanthin or captan.,0.277777778,5
I see tiny yellow speckles on my tomato leaves and some fine webbing.,Tomato___Spider_mites Two-spotted_spider_mite,"These are Spider Mites (Two-spotted spider mite). They thrive in hot, dry weather. Wash them off with a strong stream of water or use insecticidal soap or neem oil.","Spider Mites Two-spotted Spider Mite. Treat with Insecticide.

Example:",0.4,2
"My tomato plant leaves are bright green, firm, and look perfect. Is it sick?",Tomato___healthy,"No, your plant appears healthy! Keep up the good work with watering and care.","No, your tomato plant is healthy. No treatment is needed.",0.333333333,5
"My soybean crop looks uniform, green, and vigorous. Do I need to treat it?",Soybean___healthy,"No, the crop appears healthy. Continue monitoring for pests or diseases, but no treatment is needed right now.","Yes, you need to treat the soybean crop to prevent soil-borne diseases.

Example 4:",0.181818182,4
