question,context,ideal_answer,generated_answer,rouge_l,human_score
My apple tree leaves have olive-green spots that are turning brown. What is this and how do I treat it?,Apple___Apple_scab,"This sounds like Apple Scab. To treat it, remove and destroy fallen leaves to reduce overwintering spores. Apply fungicides like captan or sulfur early in the season, and consider planting resistant apple varieties.",This is Apple Scab. Remove fallen leaves to reduce spores and apply fungicides like captan early in the season.,0.6538461538461537,
"I see dark, concentric rings on the lower leaves of my tomato plants. The leaves are turning yellow. What should I do?",Tomato___Early_blight,"These are symptoms of Tomato Early Blight. You should improve air circulation, avoid overhead watering, and apply a copper-based fungicide or chlorothalonil. Remove infected leaves immediately.","This is Tomato Early Blight. Reseve water, apply fungicides, and remove the affected leaves.",0.3902439024390244,
How can I prevent Corn Common Rust from affecting my crop?,Corn_(maize)___Common_rust_,"To prevent Corn Common Rust, plant resistant corn hybrids. Fungicides can be effective if applied early when pustules first appear. Rotate crops and manage weeds to reduce disease pressure.","Corn Common Rust is a fungus that infects corn seedlings. The best way to prevent it is to avoid planting infected soil, treat the plant with fungicides, and remove infected plant parts.",0.19672131147540986,
"My grape leaves have small, reddish-brown spots that are enlarging. What disease is this?",Grape___Black_rot,"This is likely Grape Black Rot. It causes reddish-brown spots on leaves and can shrivel the fruit into hard, black mummies. Sanitation (removing mummies) and fungicide sprays are key control measures.","This is Black Rot. Remove fallen leaves, improve air circulation, and apply copper-based fungicide early in the season.",0.2745098039215686,
What are the signs of Late Blight on potatoes?,Potato___Late_blight,"Potato Late Blight appears as water-soaked, dark green to black lesions on leaves, often with a white fungal growth on the underside in humid weather. Tubers may develop a firm, brown decay.","Signs include yellowing of the leaves, brown spots, and dark spots. Early blight is caused by the fungus Phytophthora infestans. Treatment is through fungicides such as potash, copper, or sulfur.",0.0634920634920635,
My strawberry leaves have purple spots with white centers. Is this serious?,Strawberry___Leaf_scorch,"This is Strawberry Leaf Scorch. It is a fungal disease. While it can weaken plants, it is often manageable. Remove infected leaves, ensure good drainage, and apply appropriate fungicides if the infection is severe.","Yes, this is Leaf Scorch. Remove the diseased leaves.",0.27906976744186046,
My peach tree leaves have small water-soaked spots that are turning into holes. What is happening?,Peach___Bacterial_spot,"This is likely Bacterial Spot. It causes 'shot-hole' symptoms on leaves. To manage it, select resistant varieties, avoid excessive nitrogen fertilization, and use copper sprays during the dormant season.","This is Peach Bacterial Spot. Remove fallen leaves to reduce soil moisture, apply bacteriacide fungicide.",0.26666666666666666,
I found bright orange spots on the upper surface of my apple leaves. What is it?,Apple___Cedar_apple_rust,This is Cedar Apple Rust. It requires both apple and juniper/cedar trees to complete its life cycle. Remove nearby galls from juniper trees and apply fungicides like myclobutanil during the spring.,Apple Ceda Rust is caused by ____Ceda_Rust_virus. Remove the affected leaves and let them air dry. Avoid watering during the day.,0.21818181818181817,
There is a white powdery coating on my cherry tree leaves. How do I fix it?,Cherry_(including_sour)___Powdery_mildew,This is Cherry Powdery Mildew. Prune trees to improve air circulation and sunlight penetration. Apply sulfur or other labeled fungicides at the first sign of disease.,"This is Cherry Poodry Mildew. Remove fallen leaves to reduce the infestation, and apply fungicides like bifenthrin early in the season.",0.3829787234042554,
"My corn leaves have long, grayish-green elliptical lesions. Is this blight?",Corn_(maize)___Northern_Leaf_Blight,"Yes, this describes Northern Corn Leaf Blight. Use resistant hybrids and practice crop rotation. Fungicides may be necessary if the disease appears early in the season.","No, your corn plant does not appear to have Northern Leaf Blight. The lesions are not caused by the disease.",0.2173913043478261,
My grape leaves have a tiger-stripe pattern and the berries are spotting. What is this?,Grape___Esca_(Black_Measles),"This is Esca (Black Measles), a complex fungal trunk disease. There is no cure for infected vines. Prevent it by protecting pruning wounds and removing infected wood from the vineyard.",Grape Esca (Black Measles) is caused by a virus. It is not a disease and does not harm the vine. Remove the leaves to reduce infection. Apply a fungicide like cyproheptadine to prevent spread.,0.25,
My orange tree leaves have yellowing veins and blotchy mottling. The fruit is small and lopsided.,Orange___Haunglongbing_(Citrus_greening),This is likely Citrus Greening (Huanglongbing). It is a serious bacterial disease spread by psyllids. There is no cure for infected vines. Prevent it by protecting pruning wounds and removing infected wood from the vineyard.,"This is Haunglongbing. Remove infected leaves, monitor for damage to fruit, and apply citrus fungicide.",0.16,
Small water-soaked spots are appearing on my bell pepper leaves and turning brown.,"Pepper,_bell___Bacterial_spot","This is Bacterial Spot. It spreads in warm, wet weather. Use copper sprays, avoid overhead irrigation, and use disease-free seeds or transplants.","This is Bacterial Spot. Clean the affected leaves with a soft brush, and then soak them in a mixture of water and mild soap.",0.2553191489361702,
