question,context,ideal_answer,generated_answer,rouge_l,human_score
My apple tree leaves have olive-green spots that are turning brown. What is this and how do I treat it?,Apple___Apple_scab,"This sounds like Apple Scab. To treat it, remove and destroy fallen leaves to reduce overwintering spores. Apply fungicides like captan or sulfur early in the season, and consider planting resistant apple varieties.","It is apple scab. Apple scab is caused by the fungus Phyllosticta rubra, which is prevalent in warm, dry, and well-drained soils. It is a severe disease of apple and pear trees that can cause severe injury, especially in young, immature trees. The disease is characterized by the production of tiny, oval, brown spots on the leaves. The spots eventually enlarge and lead to the death of the entire leaf. The best practice for prevention and treatment of apple scab is the use of fungicides.",0.15126050420168066,
"I see dark, concentric rings on the lower leaves of my tomato plants. The leaves are turning yellow. What should I do?",Tomato___Early_blight,"These are symptoms of Tomato Early Blight. You should improve air circulation, avoid overhead watering, and apply a copper-based fungicide or chlorothalonil. Remove infected leaves immediately.","This is a sign of water stress on your plant, and it can lead to the development of water-soaked spots called necrosis. Remove any damaged leaves and water your plants with a diluted water solution (1:10 ratio). Use a watering can and fill it with a 50:50 water solution (water in the can should be warm) to avoid over-watering. After 30 minutes, check the plants again.

Note: If the water stress persists, you can apply an inoculant that will improve the plant's ability to retain water.

Sources:
https://www.army.mil/article/2427",0.08,
How can I prevent Corn Common Rust from affecting my crop?,Corn_(maize)___Common_rust_,"To prevent Corn Common Rust, plant resistant corn hybrids. Fungicides can be effective if applied early when pustules first appear. Rotate crops and manage weeds to reduce disease pressure.","1. Check your crop for signs of rust:
If you see rust on the leaves, stems, or flowers, it's an indication that the crop is infected with the corn rust fungus.

2. Use a fungicide:
Fungicides are chemical compounds that reduce the growth of fungi. You can use fungicides like neem oil, sulfur, and copper compounds to control corn rust. Apply the fungicide before and after harvest to help prevent the fungus from growing.

3. Remove infected leaves:
If you see leaves with brown or yellow patches, remove them as soon as possible. This helps prevent",0.1111111111111111,
"My grape leaves have small, reddish-brown spots that are enlarging. What disease is this?",Grape___Black_rot,"This is likely Grape Black Rot. It causes reddish-brown spots on leaves and can shrivel the fruit into hard, black mummies. Sanitation (removing mummies) and fungicide sprays are key control measures.","Grape___Black_rot

Based on the text material, the disease mentioned is Grape___Black_rot.",0.25531914893617025,
What are the signs of Late Blight on potatoes?,Potato___Late_blight,"Potato Late Blight appears as water-soaked, dark green to black lesions on leaves, often with a white fungal growth on the underside in humid weather. Tubers may develop a firm, brown decay.","1. Reddish or brown spots on the leaves, mostly on the lower leaves.
2. White spots on the undersides of the leaves.
3. Patches with white or brownish centers that can spread laterally.
4. Damaged and loose leaves.
5. Slightly yellowing of the leaves.
6. Loss of leaf production.
7. Fungus growth.

Based on the given scenario, the AI assistant will recommend the following prevention and remediation strategies for the condition of Late Blight on potatoes:

1. Regularly inspect the leaves for signs of disease and remove any infected leaves.
2",0.11290322580645164,
My strawberry leaves have purple spots with white centers. Is this serious?,Strawberry___Leaf_scorch,"This is Strawberry Leaf Scorch. It is a fungal disease. While it can weaken plants, it is often manageable. Remove infected leaves, ensure good drainage, and apply appropriate fungicides if the infection is severe.","Yes. This is a condition called purple spot, which is a condition caused by the fungus, Rhingella triloba. It is serious because it can cause the death of the plant.",0.21874999999999997,
My peach tree leaves have small water-soaked spots that are turning into holes. What is happening?,Peach___Bacterial_spot,"This is likely Bacterial Spot. It causes 'shot-hole' symptoms on leaves. To manage it, select resistant varieties, avoid excessive nitrogen fertilization, and use copper sprays during the dormant season.","Based on the symptoms and the fact that the leaves are wet, it's likely that the water-soaked spot is a peach bacterial spot caused by the overwatering of the leaves. This infection can cause the leaves to turn brown and then fall off.

Suggested treatment: Remove the infected leaves, then treat the root zone with a soil conditioner, as well as any other necessary fertilization or irrigation practices.

Recommended resources: 
- Peach bacterial spot: https://www.growingplaces.com/article/peach-bacterial-spot
- Peach bacterial spot treatment: https://www.",0.13445378151260504,
I found bright orange spots on the upper surface of my apple leaves. What is it?,Apple___Cedar_apple_rust,This is Cedar Apple Rust. It requires both apple and juniper/cedar trees to complete its life cycle. Remove nearby galls from juniper trees and apply fungicides like myclobutanil during the spring.,Phyllosticta rustica,0.0,
There is a white powdery coating on my cherry tree leaves. How do I fix it?,Cherry_(including_sour)___Powdery_mildew,This is Cherry Powdery Mildew. Prune trees to improve air circulation and sunlight penetration. Apply sulfur or other labeled fungicides at the first sign of disease.,"There are several options for fixing the condition. The AI assistant will recommend the most appropriate solution based on the user's plant characteristics, such as the type of cherry tree, the severity of the problem, and the user's availability for action. The AI assistant will also suggest other possible solutions if those are not suitable for the user's location, climate, or other environmental conditions.

Example Response: Based on the user's plant characteristics, the AI assistant suggests using a fungicide to reduce the spread of the Poodery_mildew fungus, which is a common problem with cherry trees. The fungicide will require the user to apply it to the leaves, and it",0.11428571428571428,
"My corn leaves have long, grayish-green elliptical lesions. Is this blight?",Corn_(maize)___Northern_Leaf_Blight,"Yes, this describes Northern Corn Leaf Blight. Use resistant hybrids and practice crop rotation. Fungicides may be necessary if the disease appears early in the season.","Based on the symptoms of corn nodules and grayish-green lesions, corn_(maize)___Northern_Leaf_Blight is a likely diagnosis.

Congratulations! You have correctly identified the diagnosis for your corn. Based on the diagnosis, you have identified a plant disease that is easily prevented through proper maintenance and care. You may now proceed to the next step of identifying the root cause of the disease and making recommendations for its management.",0.14432989690721648,
My grape leaves have a tiger-stripe pattern and the berries are spotting. What is this?,Grape___Esca_(Black_Measles),"This is Esca (Black Measles), a complex fungal trunk disease. There is no cure for infected vines. Prevent it by protecting pruning wounds and removing infected wood from the vineyard.",Esca_(Black_Measles).,0.18181818181818182,
