question,context,ideal_answer,generated_answer,rouge_l,human_score
My apple tree leaves have olive-green spots that are turning brown. What is this and how do I treat it?,Apple___Apple_scab,"This sounds like Apple Scab. To treat it, remove and destroy fallen leaves to reduce overwintering spores. Apply fungicides like captan or sulfur early in the season, and consider planting resistant apple varieties.","Apple scab is a disease caused by the fungus Alternaria alternata. The disease causes brown spots on the leaves and stems, which eventually cause the leaves to die. Treatment for apple scab depends on the severity of the symptoms. If the symptoms are mild, you can use a fungicide spray. If the spots are severe or if the leaves are already brown, you may need to remove the infected foliage and spray it with fungicide or use a slow-release spray of sulfuric acid. If you don't have access to sulfuric acid, you can spray the leaves with a combination of copper fungicide and sulfur",0.14388489208633093,
"I see dark, concentric rings on the lower leaves of my tomato plants. The leaves are turning yellow. What should I do?",Tomato___Early_blight,"These are symptoms of Tomato Early Blight. You should improve air circulation, avoid overhead watering, and apply a copper-based fungicide or chlorothalonil. Remove infected leaves immediately.","Thank you for your question about the Tomato disease Early Blight.

Diagnosis: Early blight is caused by the fungal pathogen Alternaria alternata. The disease is spread by infected tomato plants, soil or seed, and can appear in all stages of the plant. The disease is typically detected in the lower leaves and can cause a yellowing, death of the leaves, or both.

Actionable Step:

1. Disinfect the affected leaves with 10% bleach or soap. Do not use harsh detergents, as they may cause further damage to the leaves.
2. Remove the diseased leaves and dispose of them properly.",0.128,
How can I prevent Corn Common Rust from affecting my crop?,Corn_(maize)___Common_rust_,"To prevent Corn Common Rust, plant resistant corn hybrids. Fungicides can be effective if applied early when pustules first appear. Rotate crops and manage weeds to reduce disease pressure.","Corn Common Rust is caused by the fungus _______, which can spread through infected plant debris. To prevent the disease, here are some tips:
1. Remove any infected plant debris, such as corn silage, straw, and leaves, from fields as soon as possible to prevent the disease from spreading.
2. Avoid planting fields near corn silage fields, as this may spread the disease.
3. Use resistant corn varieties, or a combination of corn varieties and cover crops, as the fungus may also affect these crops.

4. Use fungicides containing sulfonylurea, which are effective against corn rust, but",0.128,
"My grape leaves have small, reddish-brown spots that are enlarging. What disease is this?",Grape___Black_rot,"This is likely Grape Black Rot. It causes reddish-brown spots on leaves and can shrivel the fruit into hard, black mummies. Sanitation (removing mummies) and fungicide sprays are key control measures.","Grape___Black_rot
Diseaise Name: Grape___Black_rot
Actionable Step: Scouting and identifying the affected leaves.

- Inspection: Scan the plants for signs of the disease, such as mushy or swollen leaves.
- Identification: Grape___Black_rot is characterized by small, redish brown spots on the undersurface of the leaves.

Outcome: Grape___Black_rot is caused by a fungus (Puccinia graecanensis). Prevention: Regularly inspect the plants for signs of rot and remove damaged leaves immediately. Resistance: Varieties with robust root systems and",0.17857142857142858,
What are the signs of Late Blight on potatoes?,Potato___Late_blight,"Potato Late Blight appears as water-soaked, dark green to black lesions on leaves, often with a white fungal growth on the underside in humid weather. Tubers may develop a firm, brown decay.","Late Blight is a fungal disease that affects potato crops. The most common symptom is a yellowing of the leaves, followed by the death of the plant. Other symptoms may include wilting and root rot. The disease spreads quickly, and it's a good idea to treat plants as soon as possible. Here are some actionable steps:

1. Sanitize the affected areas with a bleach solution (1 part bleach to 3 parts water).
2. Clean the soil in the infected areas with a solution of hydrogen peroxide and water.
3. Plant resistant varieties or hybrids.
4. Follow standard agricultural practices, which include",0.11851851851851852,
My strawberry leaves have purple spots with white centers. Is this serious?,Strawberry___Leaf_scorch,"This is Strawberry Leaf Scorch. It is a fungal disease. While it can weaken plants, it is often manageable. Remove infected leaves, ensure good drainage, and apply appropriate fungicides if the infection is severe.","Strawberry leaf scorch is caused by a fungal disease, Streptomycinia cepacia. The disease is characterized by a purple spot, with a white center, and the plant may drop. The disease can be serious if the plant is infected for a long time. The fungus thrives in high humidity, high temperature and poor soil drainage. The best treatment is to remove infected leaves, then spray fungicide to kill the fungus. If the disease persists, the plant may need to be destroyed.

Actionable Step: Remove infected leaves and spray fungicide to kill the fungus.

OUTPUT FORMAT:",0.265625,
My peach tree leaves have small water-soaked spots that are turning into holes. What is happening?,Peach___Bacterial_spot,"This is likely Bacterial Spot. It causes 'shot-hole' symptoms on leaves. To manage it, select resistant varieties, avoid excessive nitrogen fertilization, and use copper sprays during the dormant season.","Thank you for your question. Peach bacterial spot is a common disease of peach trees that usually starts on the leaves and spreads to the petioles and stems. The disease causes wilting of affected leaves, small water-soaked spots on the leaves, and eventually the plant wilts. The bacteria that cause peach bacterial spot are ureaplasmata, which are non-motile bacteria that infect the plant through the soil or water. The disease is typically caused by the ureaplasmata ____, but other species may be present.

Actionable Step:
- Sanitize the affected plant parts to prevent bacterial spread by",0.11111111111111112,
I found bright orange spots on the upper surface of my apple leaves. What is it?,Apple___Cedar_apple_rust,This is Cedar Apple Rust. It requires both apple and juniper/cedar trees to complete its life cycle. Remove nearby galls from juniper trees and apply fungicides like myclobutanil during the spring.,"Thank you for your question. Apple rust, also known as rust or rust disease, is a fungal infection that is caused by the fungus Puccinia sorghi. It usually infests the leaves, stems, and fruits, leading to a yellowing or brown appearance. The disease is most often found on apple trees, especially the cultivar, Malus 'Sulphuradoidis'.

Actionable Step:
1. Use a clean, sterile sponge or cloth to thoroughly wipe the affected surfaces.
2. Wipe the leaves with a damp cloth or sponge to remove any excess dirt or debris.
3. Apply a fungic",0.12903225806451613,
There is a white powdery coating on my cherry tree leaves. How do I fix it?,Cherry_(including_sour)___Powdery_mildew,This is Cherry Powdery Mildew. Prune trees to improve air circulation and sunlight penetration. Apply sulfur or other labeled fungicides at the first sign of disease.,"Dear [User],

We are Dr. Flora, an expert Plant Pathologist with 20 years of experience in agricultural diagnostiics.

Powdery mildew is a disease caused by the fungus Fusarium oxysporum. The disease is commonly found on fruits, vegetables, and ornamental plants. It produces a powdery or chalky white coat on leaves, stems, and fruits.

Here are some treatment options:

1. Physical treatment: Prune the tree to remove infected leaves or branches.

2. Sanitation: Remove all infected leaves, branches, and fruiting bodies from the plant.

3",0.12727272727272726,
"My corn leaves have long, grayish-green elliptical lesions. Is this blight?",Corn_(maize)___Northern_Leaf_Blight,"Yes, this describes Northern Corn Leaf Blight. Use resistant hybrids and practice crop rotation. Fungicides may be necessary if the disease appears early in the season.","Corn Leaf Blight (CLB) is a common leaf blight caused by the fungus Verticillium Wilt Fungus (VWF) and is present in warm temperate and tropical regions. CLB affects all corn varieties and is not a significant cause of yield reduction.

1. Treatment:
   - Spray with copper sulfate, 0.1% solution
   - Apply sulfur on the affected leaves 1-2 times per week

2. Prevention:
   - Rotate corn varieties to avoid the same soil-borne fungus
   - Remove infected plant parts
   - Clean and sanitize gardening",0.11320754716981132,
